"Year","IMD2019 NIMDM2017 SIMD2012 2016 2020 WIMD2019","Age group","Domicile","Gender","Accepted applicants","Population estimate","Entry rate"
"2016","Quintile 3","18","Wales","Man","820","3640","0.225"
"2017","Quintile 3","18","Wales","Man","800","3580","0.224"
"2018","Quintile 3","18","Wales","Man","780","3330","0.234"
"2019","Quintile 3","18","Wales","Man","690","3370","0.20400000000000001"
"2020","Quintile 3","18","Wales","Man","680","3180","0.214"
"2021","Quintile 3","18","Wales","Man","810","3270","0.246"
"2022","Quintile 3","18","Wales","Man","810","3330","0.244"
"2023","Quintile 3","18","Wales","Man","750","3470","0.215"
"2024","Quintile 3","18","Wales","Man","760","3500","0.215"
"2015","Quintile 4","18","Northern Ireland","Man","770","2620","0.296"
"2016","Quintile 4","18","Northern Ireland","Man","820","2580","0.318"
"2017","Quintile 4","18","Northern Ireland","Man","760","2540","0.297"
"2018","Quintile 4","18","Northern Ireland","Man","770","2480","0.309"
"2019","Quintile 4","18","Northern Ireland","Man","780","2350","0.333"
"2020","Quintile 4","18","Northern Ireland","Man","880","2330","0.376"
"2021","Quintile 4","18","Northern Ireland","Man","930","2340","0.398"
"2022","Quintile 4","18","Northern Ireland","Man","950","2420","0.393"
"2023","Quintile 4","18","Northern Ireland","Man","890","2440","0.365"
"2024","Quintile 4","18","Northern Ireland","Man","860","2470","0.35000000000000003"
"2015","Quintile 4","18","England","Man","19310","62900","0.307"
"2016","Quintile 4","18","England","Man","19670","61340","0.321"
"2017","Quintile 4","18","England","Man","19950","61060","0.327"
"2018","Quintile 4","18","England","Man","19450","59050","0.329"
"2019","Quintile 4","18","England","Man","19310","58140","0.332"
"2020","Quintile 4","18","England","Man","19410","57100","0.34"
"2021","Quintile 4","18","England","Man","22140","58130","0.381"
"2022","Quintile 4","18","England","Man","21810","60030","0.363"
"2023","Quintile 4","18","England","Man","21560","61540","0.35000000000000003"
"2024","Quintile 4","18","England","Man","21460","62190","0.34500000000000003"
"2015","Quintile 4","18","Scotland","Man","1480","6440","0.23"
"2016","Quintile 4","18","Scotland","Man","1540","6420","0.24"
"2017","Quintile 4","18","Scotland","Man","1450","6040","0.24"
"2018","Quintile 4","18","Scotland","Man","1450","5710","0.254"
"2019","Quintile 4","18","Scotland","Man","1350","5500","0.245"
"2020","Quintile 4","18","Scotland","Man","1340","5480","0.244"
"2021","Quintile 4","18","Scotland","Man","1640","5860","0.279"
