"Year","POLAR4 Quintile","Age group","Domicile","Gender","Accepted applicants","Population estimate","Entry rate"
"2024","Quintile 5","18","Scotland","Woman","4270","8930","0.47900000000000004"
"2015","Quintile 5","18","Wales","Woman","1150","2270","0.505"
"2016","Quintile 5","18","Wales","Woman","1270","2350","0.54"
"2017","Quintile 5","18","Wales","Woman","1130","2250","0.503"
"2018","Quintile 5","18","Wales","Woman","1110","2100","0.53"
"2019","Quintile 5","18","Wales","Woman","1140","2010","0.5690000000000001"
"2020","Quintile 5","18","Wales","Woman","1130","2070","0.547"
"2021","Quintile 5","18","Wales","Woman","1270","2030","0.624"
"2022","Quintile 5","18","Wales","Woman","1200","2090","0.5750000000000001"
"2023","Quintile 5","18","Wales","Woman","1210","2170","0.559"
"2024","Quintile 5","18","Wales","Woman","1240","2130","0.58"
"2015","Quintile 1","18","Northern Ireland","Man","260","2380","0.11"
"2016","Quintile 1","18","Northern Ireland","Man","270","2370","0.115"
"2017","Quintile 1","18","Northern Ireland","Man","280","2370","0.11800000000000001"
"2018","Quintile 1","18","Northern Ireland","Man","280","2320","0.12"
"2019","Quintile 1","18","Northern Ireland","Man","270","2210","0.121"
"2020","Quintile 1","18","Northern Ireland","Man","360","2200","0.162"
"2021","Quintile 1","18","Northern Ireland","Man","410","2220","0.183"
"2022","Quintile 1","18","Northern Ireland","Man","390","2300","0.169"
"2023","Quintile 1","18","Northern Ireland","Man","370","2320","0.159"
"2024","Quintile 1","18","Northern Ireland","Man","350","2340","0.15"
"2015","Quintile 1","18","England","Man","8330","61960","0.134"
"2016","Quintile 1","18","England","Man","8460","59900","0.14100000000000001"
"2017","Quintile 1","18","England","Man","8660","58940","0.147"
"2018","Quintile 1","18","England","Man","8440","57280","0.147"
"2019","Quintile 1","18","England","Man","8800","55630","0.158"
"2020","Quintile 1","18","England","Man","9060","55040","0.165"
"2021","Quintile 1","18","England","Man","10240","57230","0.179"
"2022","Quintile 1","18","England","Man","10700","58850","0.182"
"2023","Quintile 1","18","England","Man","10830","61030","0.177"
"2024","Quintile 1","18","England","Man","11090","62720","0.177"
"2015","Quintile 1","18","Scotland","Man","190","3040","0.061"
"2016","Quintile 1","18","Scotland","Man","200","3060","0.064"
"2017","Quintile 1","18","Scotland","Man","230","2990","0.077"
"2018","Quintile 1","18","Scotland","Man","260","2920","0.09"
"2019","Quintile 1","18","Scotland","Man","220","2760","0.081"
"2020","Quintile 1","18","Scotland","Man","280","2730","0.101"
"2021","Quintile 1","18","Scotland","Man","290","2870","0.10200000000000001"
"2022","Quintile 1","18","Scotland","Man","300","2880","0.10400000000000001"
"2023","Quintile 1","18","Scotland","Man","320","2920","0.11"
"2024","Quintile 1","18","Scotland","Man","350","3060","0.115"
"2015","Quintile 1","18","Wales","Man","530","4490","0.11900000000000001"
"2016","Quintile 1","18","Wales","Man","570","4380","0.129"
"2017","Quintile 1","18","Wales","Man","540","4150","0.13"
"2018","Quintile 1","18","Wales","Man","550","4080","0.134"
"2019","Quintile 1","18","Wales","Man","530","4030","0.132"
"2020","Quintile 1","18","Wales","Man","540","3890","0.139"
"2021","Quintile 1","18","Wales","Man","590","4040","0.147"
"2022","Quintile 1","18","Wales","Man","610","4010","0.151"
"2023","Quintile 1","18","Wales","Man","620","4310","0.145"
"2024","Quintile 1","18","Wales","Man","590","4360","0.135"
"2015","Quintile 2","18","Northern Ireland","Man","250","1530","0.163"
"2016","Quintile 2","18","Northern Ireland","Man","300","1510","0.201"
"2017","Quintile 2","18","Northern Ireland","Man","300","1500","0.202"
"2018","Quintile 2","18","Northern Ireland","Man","250","1460","0.17300000000000001"
"2019","Quintile 2","18","Northern Ireland","Man","270","1400","0.192"
"2020","Quintile 2","18","Northern Ireland","Man","320","1400","0.229"
"2021","Quintile 2","18","Northern Ireland","Man","350","1400","0.251"
"2022","Quintile 2","18","Northern Ireland","Man","370","1460","0.251"
"2023","Quintile 2","18","Northern Ireland","Man","370","1480","0.251"
"2024","Quintile 2","18","Northern Ireland","Man","360","1470","0.242"
"2015","Quintile 2","18","England","Man","12170","63070","0.193"
"2016","Quintile 2","18","England","Man","12630","61770","0.20400000000000001"
"2017","Quintile 2","18","England","Man","12520","60450","0.20700000000000002"
"2018","Quintile 2","18","England","Man","12250","59040","0.20800000000000002"
"2019","Quintile 2","18","England","Man","12190","57620","0.211"
"2020","Quintile 2","18","England","Man","12730","56530","0.225"
"2021","Quintile 2","18","England","Man","14390","58860","0.244"
"2022","Quintile 2","18","England","Man","14190","59920","0.23700000000000002"
"2023","Quintile 2","18","England","Man","14300","61910","0.231"
"2024","Quintile 2","18","England","Man","14190","62740","0.226"
"2015","Quintile 2","18","Scotland","Man","520","5030","0.10400000000000001"
"2016","Quintile 2","18","Scotland","Man","500","4810","0.10400000000000001"
"2017","Quintile 2","18","Scotland","Man","480","4690","0.10300000000000001"
"2018","Quintile 2","18","Scotland","Man","550","4430","0.124"
"2019","Quintile 2","18","Scotland","Man","520","4250","0.122"
"2020","Quintile 2","18","Scotland","Man","510","4280","0.11900000000000001"
"2021","Quintile 2","18","Scotland","Man","590","4410","0.133"
"2022","Quintile 2","18","Scotland","Man","600","4510","0.132"
"2023","Quintile 2","18","Scotland","Man","650","4580","0.14200000000000002"
"2024","Quintile 2","18","Scotland","Man","660","4930","0.134"
"2015","Quintile 2","18","Wales","Man","880","5100","0.17300000000000001"
"2016","Quintile 2","18","Wales","Man","890","4700","0.19"
"2017","Quintile 2","18","Wales","Man","830","4640","0.178"
"2018","Quintile 2","18","Wales","Man","870","4490","0.194"
"2019","Quintile 2","18","Wales","Man","840","4460","0.188"
"2020","Quintile 2","18","Wales","Man","830","4210","0.197"
"2021","Quintile 2","18","Wales","Man","940","4360","0.216"
"2022","Quintile 2","18","Wales","Man","970","4460","0.218"
"2023","Quintile 2","18","Wales","Man","850","4600","0.186"
"2024","Quintile 2","18","Wales","Man","810","4560","0.178"
"2015","Quintile 3","18","Northern Ireland","Man","500","2290","0.218"
