"Year","IMD2019 NIMDM2017 SIMD2012 2016 2020 WIMD2019","Age group","Domicile","Gender","Accepted applicants","Population estimate","Entry rate"
"2019","Quintile 5","18","England","Woman","25800","59570","0.433"
"2020","Quintile 5","18","England","Woman","26670","58160","0.459"
"2021","Quintile 5","18","England","Woman","31510","60120","0.524"
"2022","Quintile 5","18","England","Woman","30270","61900","0.489"
"2023","Quintile 5","18","England","Woman","29220","62590","0.467"
"2024","Quintile 5","18","England","Woman","30010","62810","0.47800000000000004"
"2015","Quintile 5","18","Scotland","Woman","2720","6100","0.446"
"2016","Quintile 5","18","Scotland","Woman","2710","5990","0.453"
"2017","Quintile 5","18","Scotland","Woman","2760","6110","0.452"
"2018","Quintile 5","18","Scotland","Woman","2780","5800","0.47800000000000004"
"2019","Quintile 5","18","Scotland","Woman","2800","5670","0.493"
"2020","Quintile 5","18","Scotland","Woman","2760","5570","0.496"
"2021","Quintile 5","18","Scotland","Woman","2990","5710","0.524"
"2022","Quintile 5","18","Scotland","Woman","3040","5960","0.51"
"2023","Quintile 5","18","Scotland","Woman","3020","5940","0.509"
"2024","Quintile 5","18","Scotland","Woman","3190","6160","0.519"
"2015","Quintile 5","18","Wales","Woman","1450","3580","0.406"
"2016","Quintile 5","18","Wales","Woman","1500","3630","0.41300000000000003"
"2017","Quintile 5","18","Wales","Woman","1440","3340","0.431"
"2018","Quintile 5","18","Wales","Woman","1480","3350","0.442"
"2019","Quintile 5","18","Wales","Woman","1430","3080","0.462"
"2020","Quintile 5","18","Wales","Woman","1500","3210","0.468"
"2021","Quintile 5","18","Wales","Woman","1740","3110","0.558"
"2022","Quintile 5","18","Wales","Woman","1640","3300","0.497"
"2023","Quintile 5","18","Wales","Woman","1630","3390","0.482"
"2024","Quintile 5","18","Wales","Woman","1590","3360","0.47300000000000003"
"2015","Quintile 1","18","Northern Ireland","Man","290","2500","0.117"
"2016","Quintile 1","18","Northern Ireland","Man","310","2490","0.125"
"2017","Quintile 1","18","Northern Ireland","Man","290","2480","0.11800000000000001"
"2018","Quintile 1","18","Northern Ireland","Man","300","2420","0.123"
"2019","Quintile 1","18","Northern Ireland","Man","270","2310","0.116"
"2020","Quintile 1","18","Northern Ireland","Man","390","2300","0.167"
"2021","Quintile 1","18","Northern Ireland","Man","440","2310","0.189"
"2022","Quintile 1","18","Northern Ireland","Man","420","2400","0.17400000000000002"
"2023","Quintile 1","18","Northern Ireland","Man","390","2430","0.162"
"2024","Quintile 1","18","Northern Ireland","Man","350","2410","0.14400000000000002"
"2015","Quintile 1","18","England","Man","9250","71740","0.129"
"2016","Quintile 1","18","England","Man","9660","69910","0.138"
"2017","Quintile 1","18","England","Man","9780","69380","0.14100000000000001"
"2018","Quintile 1","18","England","Man","9760","68190","0.14300000000000002"
"2019","Quintile 1","18","England","Man","10290","67550","0.152"
"2020","Quintile 1","18","England","Man","11010","67010","0.164"
"2021","Quintile 1","18","England","Man","12890","69740","0.185"
"2022","Quintile 1","18","England","Man","12700","71550","0.177"
"2023","Quintile 1","18","England","Man","12640","74630","0.169"
"2024","Quintile 1","18","England","Man","13670","75760","0.18"
"2015","Quintile 1","18","Scotland","Man","470","6120","0.077"
"2016","Quintile 1","18","Scotland","Man","490","6030","0.081"
"2017","Quintile 1","18","Scotland","Man","500","5960","0.085"
"2018","Quintile 1","18","Scotland","Man","530","5760","0.092"
"2019","Quintile 1","18","Scotland","Man","500","5640","0.088"
"2020","Quintile 1","18","Scotland","Man","520","5520","0.093"
"2021","Quintile 1","18","Scotland","Man","540","5810","0.092"
"2022","Quintile 1","18","Scotland","Man","650","5880","0.11"
"2023","Quintile 1","18","Scotland","Man","720","5940","0.122"
"2024","Quintile 1","18","Scotland","Man","750","6180","0.121"
"2015","Quintile 1","18","Wales","Man","360","4120","0.08700000000000001"
"2016","Quintile 1","18","Wales","Man","430","4060","0.107"
"2017","Quintile 1","18","Wales","Man","370","3790","0.099"
"2018","Quintile 1","18","Wales","Man","420","3780","0.11"
"2019","Quintile 1","18","Wales","Man","420","3740","0.112"
"2020","Quintile 1","18","Wales","Man","430","3630","0.117"
"2021","Quintile 1","18","Wales","Man","500","3700","0.134"
"2022","Quintile 1","18","Wales","Man","510","3760","0.136"
