"Year","POLAR4 Quintile","Age group","Domicile","Gender","Accepted applicants","Population estimate","Entry rate"
"2016","Quintile 1","18","Northern Ireland","Man","240","2370","0.099"
"2017","Quintile 1","18","Northern Ireland","Man","240","2370","0.101"
"2018","Quintile 1","18","Northern Ireland","Man","240","2320","0.105"
"2019","Quintile 1","18","Northern Ireland","Man","220","2210","0.101"
"2020","Quintile 1","18","Northern Ireland","Man","340","2200","0.156"
"2021","Quintile 1","18","Northern Ireland","Man","370","2220","0.167"
"2022","Quintile 1","18","Northern Ireland","Man","350","2300","0.151"
"2023","Quintile 1","18","Northern Ireland","Man","340","2320","0.146"
"2024","Quintile 1","18","Northern Ireland","Man","290","2340","0.124"
"2015","Quintile 1","18","England","Man","7190","61960","0.116"
"2016","Quintile 1","18","England","Man","7380","59900","0.123"
"2017","Quintile 1","18","England","Man","7390","58940","0.125"
"2018","Quintile 1","18","England","Man","7300","57280","0.127"
"2019","Quintile 1","18","England","Man","7470","55630","0.134"
"2020","Quintile 1","18","England","Man","7930","55040","0.14400000000000002"
"2021","Quintile 1","18","England","Man","9220","57230","0.161"
"2022","Quintile 1","18","England","Man","9310","58850","0.158"
"2023","Quintile 1","18","England","Man","9140","61030","0.15"
"2024","Quintile 1","18","England","Man","9650","62720","0.154"
"2015","Quintile 1","18","Scotland","Man","180","3040","0.06"
"2016","Quintile 1","18","Scotland","Man","190","3060","0.063"
"2017","Quintile 1","18","Scotland","Man","220","2990","0.075"
"2018","Quintile 1","18","Scotland","Man","260","2920","0.089"
"2019","Quintile 1","18","Scotland","Man","220","2760","0.08"
"2020","Quintile 1","18","Scotland","Man","270","2730","0.099"
"2021","Quintile 1","18","Scotland","Man","270","2870","0.094"
"2022","Quintile 1","18","Scotland","Man","300","2880","0.10400000000000001"
"2023","Quintile 1","18","Scotland","Man","310","2920","0.107"
"2024","Quintile 1","18","Scotland","Man","340","3060","0.112"
"2015","Quintile 1","18","Wales","Man","460","4490","0.10200000000000001"
"2016","Quintile 1","18","Wales","Man","510","4380","0.116"
"2017","Quintile 1","18","Wales","Man","470","4150","0.113"
"2018","Quintile 1","18","Wales","Man","490","4080","0.12"
"2019","Quintile 1","18","Wales","Man","480","4030","0.11900000000000001"
"2020","Quintile 1","18","Wales","Man","510","3890","0.13"
"2021","Quintile 1","18","Wales","Man","550","4040","0.136"
"2022","Quintile 1","18","Wales","Man","550","4010","0.138"
"2023","Quintile 1","18","Wales","Man","570","4310","0.132"
"2024","Quintile 1","18","Wales","Man","520","4360","0.11800000000000001"
"2015","Quintile 2","18","Northern Ireland","Man","200","1530","0.129"
"2016","Quintile 2","18","Northern Ireland","Man","270","1510","0.177"
"2017","Quintile 2","18","Northern Ireland","Man","240","1500","0.157"
"2018","Quintile 2","18","Northern Ireland","Man","220","1460","0.152"
"2019","Quintile 2","18","Northern Ireland","Man","220","1400","0.16"
"2020","Quintile 2","18","Northern Ireland","Man","300","1400","0.217"
"2021","Quintile 2","18","Northern Ireland","Man","320","1400","0.227"
"2022","Quintile 2","18","Northern Ireland","Man","350","1460","0.23700000000000002"
"2023","Quintile 2","18","Northern Ireland","Man","360","1480","0.242"
"2024","Quintile 2","18","Northern Ireland","Man","310","1470","0.211"
"2015","Quintile 2","18","England","Man","10560","63070","0.167"
"2016","Quintile 2","18","England","Man","10970","61770","0.178"
"2017","Quintile 2","18","England","Man","10830","60450","0.179"
"2018","Quintile 2","18","England","Man","10640","59040","0.18"
"2019","Quintile 2","18","England","Man","10430","57620","0.181"
"2020","Quintile 2","18","England","Man","11100","56530","0.196"
"2021","Quintile 2","18","England","Man","12930","58860","0.22"
"2022","Quintile 2","18","England","Man","12430","59920","0.20700000000000002"
"2023","Quintile 2","18","England","Man","12150","61910","0.196"
"2024","Quintile 2","18","England","Man","12460","62740","0.199"
"2015","Quintile 2","18","Scotland","Man","520","5030","0.10200000000000001"
"2016","Quintile 2","18","Scotland","Man","490","4810","0.10200000000000001"
"2017","Quintile 2","18","Scotland","Man","470","4690","0.101"
"2018","Quintile 2","18","Scotland","Man","540","4430","0.123"
"2019","Quintile 2","18","Scotland","Man","510","4250","0.12"
"2020","Quintile 2","18","Scotland","Man","500","4280","0.116"
"2021","Quintile 2","18","Scotland","Man","540","4410","0.123"
"2022","Quintile 2","18","Scotland","Man","590","4510","0.13"
"2023","Quintile 2","18","Scotland","Man","640","4580","0.139"
"2024","Quintile 2","18","Scotland","Man","650","4930","0.132"
"2015","Quintile 2","18","Wales","Man","770","5100","0.151"
"2016","Quintile 2","18","Wales","Man","770","4700","0.163"
"2017","Quintile 2","18","Wales","Man","720","4640","0.155"
"2018","Quintile 2","18","Wales","Man","790","4490","0.176"
"2019","Quintile 2","18","Wales","Man","760","4460","0.169"
"2020","Quintile 2","18","Wales","Man","760","4210","0.18"
"2021","Quintile 2","18","Wales","Man","870","4360","0.198"
"2022","Quintile 2","18","Wales","Man","860","4460","0.192"
"2023","Quintile 2","18","Wales","Man","770","4600","0.168"
"2024","Quintile 2","18","Wales","Man","740","4560","0.162"
"2015","Quintile 3","18","Northern Ireland","Man","410","2290","0.181"
"2016","Quintile 3","18","Northern Ireland","Man","440","2270","0.192"
"2017","Quintile 3","18","Northern Ireland","Man","450","2250","0.199"
"2018","Quintile 3","18","Northern Ireland","Man","460","2200","0.209"
"2019","Quintile 3","18","Northern Ireland","Man","460","2090","0.219"
"2020","Quintile 3","18","Northern Ireland","Man","550","2080","0.264"
"2021","Quintile 3","18","Northern Ireland","Man","620","2070","0.299"
"2022","Quintile 3","18","Northern Ireland","Man","610","2130","0.28600000000000003"
"2023","Quintile 3","18","Northern Ireland","Man","580","2170","0.266"
"2024","Quintile 3","18","Northern Ireland","Man","550","2190","0.25"
"2015","Quintile 3","18","England","Man","13400","64020","0.209"
"2016","Quintile 3","18","England","Man","13520","62460","0.216"
"2017","Quintile 3","18","England","Man","13730","61890","0.222"
"2018","Quintile 3","18","England","Man","13280","60230","0.22"
"2019","Quintile 3","18","England","Man","13450","59130","0.227"
"2020","Quintile 3","18","England","Man","13760","58510","0.23500000000000001"
"2021","Quintile 3","18","England","Man","16310","59840","0.273"
"2022","Quintile 3","18","England","Man","15830","61680","0.257"
"2023","Quintile 3","18","England","Man","15210","63320","0.24"
"2024","Quintile 3","18","England","Man","15700","63770","0.246"
"2015","Quintile 3","18","Scotland","Man","900","6280","0.14300000000000002"
"2016","Quintile 3","18","Scotland","Man","850","6040","0.14100000000000001"
"2017","Quintile 3","18","Scotland","Man","910","6020","0.152"
"2018","Quintile 3","18","Scotland","Man","840","5700","0.148"
"2019","Quintile 3","18","Scotland","Man","790","5670","0.139"
"2020","Quintile 3","18","Scotland","Man","780","5490","0.14200000000000002"
"2021","Quintile 3","18","Scotland","Man","880","5790","0.152"
"2022","Quintile 3","18","Scotland","Man","1090","5900","0.185"
"2023","Quintile 3","18","Scotland","Man","980","6030","0.163"
"2024","Quintile 3","18","Scotland","Man","1040","6040","0.17300000000000001"
"2015","Quintile 3","18","Wales","Man","870","4280","0.20400000000000001"
"2016","Quintile 3","18","Wales","Man","870","4160","0.209"
"2017","Quintile 3","18","Wales","Man","870","4160","0.21"
"2018","Quintile 3","18","Wales","Man","850","4020","0.212"
"2019","Quintile 3","18","Wales","Man","800","3920","0.20500000000000002"
"2020","Quintile 3","18","Wales","Man","770","3810","0.202"
"2021","Quintile 3","18","Wales","Man","900","3750","0.241"
"2022","Quintile 3","18","Wales","Man","880","3770","0.234"
"2023","Quintile 3","18","Wales","Man","840","3960","0.211"
"2024","Quintile 3","18","Wales","Man","820","3940","0.209"
"2015","Quintile 4","18","Northern Ireland","Man","710","2960","0.23900000000000002"
"2016","Quintile 4","18","Northern Ireland","Man","750","2930","0.256"
"2017","Quintile 4","18","Northern Ireland","Man","670","2870","0.233"
"2018","Quintile 4","18","Northern Ireland","Man","670","2790","0.241"
"2019","Quintile 4","18","Northern Ireland","Man","640","2640","0.241"
"2020","Quintile 4","18","Northern Ireland","Man","790","2610","0.302"
"2021","Quintile 4","18","Northern Ireland","Man","900","2610","0.34500000000000003"
"2022","Quintile 4","18","Northern Ireland","Man","840","2700","0.31"
"2023","Quintile 4","18","Northern Ireland","Man","840","2730","0.309"
"2024","Quintile 4","18","Northern Ireland","Man","750","2740","0.272"
"2015","Quintile 4","18","England","Man","16440","66490","0.247"
"2016","Quintile 4","18","England","Man","16980","65460","0.259"
"2017","Quintile 4","18","England","Man","16870","65160","0.259"
"2018","Quintile 4","18","England","Man","17090","63810","0.268"
"2019","Quintile 4","18","England","Man","17110","62470","0.274"
"2020","Quintile 4","18","England","Man","17610","61530","0.28600000000000003"
"2021","Quintile 4","18","England","Man","21060","63290","0.333"
"2022","Quintile 4","18","England","Man","20450","65280","0.313"
"2023","Quintile 4","18","England","Man","19720","66900","0.295"
"2024","Quintile 4","18","England","Man","20260","67250","0.301"
"2015","Quintile 4","18","Scotland","Man","1260","6970","0.181"
"2016","Quintile 4","18","Scotland","Man","1320","6880","0.192"
"2017","Quintile 4","18","Scotland","Man","1310","6650","0.196"
"2018","Quintile 4","18","Scotland","Man","1250","6420","0.194"
"2019","Quintile 4","18","Scotland","Man","1140","6150","0.186"
"2020","Quintile 4","18","Scotland","Man","1180","6110","0.193"
"2021","Quintile 4","18","Scotland","Man","1330","6410","0.20700000000000002"
"2022","Quintile 4","18","Scotland","Man","1430","6580","0.218"
"2023","Quintile 4","18","Scotland","Man","1540","6470","0.23800000000000002"
"2024","Quintile 4","18","Scotland","Man","1540","6710","0.229"
"2015","Quintile 4","18","Wales","Man","740","3010","0.246"
"2016","Quintile 4","18","Wales","Man","790","3010","0.263"
"2017","Quintile 4","18","Wales","Man","730","2900","0.251"
"2018","Quintile 4","18","Wales","Man","800","2840","0.28300000000000003"
"2019","Quintile 4","18","Wales","Man","710","2780","0.256"
"2020","Quintile 4","18","Wales","Man","710","2630","0.271"
"2021","Quintile 4","18","Wales","Man","860","2730","0.315"
"2022","Quintile 4","18","Wales","Man","780","2800","0.279"
"2023","Quintile 4","18","Wales","Man","760","2830","0.269"
"2024","Quintile 4","18","Wales","Man","730","2860","0.253"
"2015","Quintile 5","18","Northern Ireland","Man","1180","3520","0.334"
